Fun_x_in_m	Fun_Bx_average_in_mT	Fun_By_average_in_mT	Fun_Bz_average_in_mT
-1.000000000000e-07	-5.062093804309e+00	3.007889191446e+00	-1.068519863990e+00
-9.800000000000e-08	-4.864237339549e+00	2.961784763087e+00	-1.053335293495e+00
-9.600000000000e-08	-4.668895150837e+00	2.917353694177e+00	-1.038700839846e+00
-9.400000000000e-08	-4.475974962364e+00	2.874543839986e+00	-1.024599485963e+00
-9.200000000000e-08	-4.285397108658e+00	2.833306857269e+00	-1.011015453474e+00
-9.000000000000e-08	-4.097076555615e+00	2.793596782806e+00	-9.979337418066e-01
-8.800000000000e-08	-3.910937698910e+00	2.755369394102e+00	-9.853399094114e-01
-8.600000000000e-08	-3.726896979149e+00	2.718581195208e+00	-9.732197467025e-01
-8.400000000000e-08	-3.544878551719e+00	2.683192620929e+00	-9.615603324140e-01
-8.200000000000e-08	-3.364810681323e+00	2.649164451072e+00	-9.503488463803e-01
-8.000000000000e-08	-3.186620935430e+00	2.616460579313e+00	-9.395734914552e-01
-7.800000000000e-08	-3.010233091869e+00	2.585044789112e+00	-9.292224252937e-01
-7.600000000000e-08	-2.835582392788e+00	2.554883438894e+00	-9.192846454863e-01
-7.400000000000e-08	-2.662597896881e+00	2.525944921628e+00	-9.097498186209e-01
-7.200000000000e-08	-2.491217784721e+00	2.498198500361e+00	-9.006078877417e-01
-7.000000000000e-08	-2.321372150532e+00	2.471614091557e+00	-8.918490079861e-01
-6.800000000000e-08	-2.152997414786e+00	2.446164612092e+00	-8.834643203273e-01
-6.600000000000e-08	-1.986035868544e+00	2.421823325351e+00	-8.754450713538e-01
-6.400000000000e-08	-1.820421646809e+00	2.398564157738e+00	-8.677827240023e-01
-6.200000000000e-08	-1.656094762649e+00	2.376363766312e+00	-8.604696391623e-01
-6.000000000000e-08	-1.492999635931e+00	2.355198515929e+00	-8.534980729682e-01
-5.800000000000e-08	-1.331078387257e+00	2.335047282700e+00	-8.468611105200e-01
-5.600000000000e-08	-1.170269691931e+00	2.315888703802e+00	-8.405517531242e-01
-5.400000000000e-08	-1.010522692247e+00	2.297702815082e+00	-8.345634577788e-01
-5.200000000000e-08	-8.517792222611e-01	2.280471550619e+00	-8.288903093238e-01
-5.000000000000e-08	-6.939902189864e-01	2.264176855551e+00	-8.235263886309e-01
-4.800000000000e-08	-5.370982139076e-01	2.248801436098e+00	-8.184660274182e-01
-4.600000000000e-08	-3.810505749440e-01	2.234330166051e+00	-8.137042714381e-01
-4.400000000000e-08	-2.257994345019e-01	2.220747300397e+00	-8.092359554910e-01
-4.200000000000e-08	-7.129355143262e-02	2.208039409621e+00	-8.050566804954e-01
-4.000000000000e-08	 8.252154931044e-02	2.196192825971e+00	-8.011619652942e-01
